"Year" "Lat" "Lon" "Commercial.weight" "Area_swept" "Depth" "Temperature"
"5368" 2008 47.972113 -63.049007 0 2992 62.1792 -0.5
"5369" 2008 47.913105 -62.893075 0.61785769 2897 71.3232 -0.73
"5370" 2008 48.35802 -64.39658 0.529508516 3308 78.6384 0.36
"5371" 2008 48.424393 -64.23368 5.329120315 3113 69.4944 1.58
"5372" 2008 48.456922 -64.130357 0.377784321 3108 71.3232 0.51
"5373" 2008 48.279378 -64.394283 5.08738626 2164 113.3856 -0.08
"5374" 2008 48.304432 -64.210047 6.026398203 2406 109.728 -0.26
"5375" 2008 48.227293 -64.165827 0.776383204 3382 69.4944 0.88
"5376" 2008 48.028177 -64.858473 5.925313065 2034 89.6112 0.04
"5377" 2008 48.040167 -64.740822 2.879317293 2183.4 82.296 0.65
"5378" 2008 48.15215 -64.405485 2.405290547 2288 58.5216 2.7
"5379" 2008 47.94602 -65.030773 8.178269529 1994 80.4672 0.2
"5380" 2008 47.938782 -64.913855 4.915988451 2362 71.3232 0.97
"5381" 2008 48.878298 -64.165608 0 3567 58.5216 2.03
"5382" 2008 48.772495 -64.29807 15.99379162 2845 69.4944 0.6
"5383" 2008 48.6876519 -63.937955 10.17742006 2173 129.8448 0.64
"5384" 2008 48.533343 -64.004265 2.242178863 2285 120.7008 0.74
"5385" 2008 48.576797 -64.103448 4.899863759 2128 98.7552 0.21
"5386" 2008 48.57589 -63.875315 10.04013079 1784 157.2768 1.89
"5387" 2008 48.582568 -63.760427 6.9081046 2038 146.304 1.7
"5388" 2008 48.609582 -63.793273 5.922887222 1949 140.8176 1.73
"5389" 2008 48.438938 -63.972652 2.44760561 2306 115.2144 0.36
"5390" 2008 48.791353 -64.040062 0 1940 104.2416 -0.23
"5391" 2008 48.772312 -63.896203 0 3367 162.7632 0.57
"5392" 2008 48.745132 -63.789308 3.321401337 2374 166.4208 0.21
"5393" 2008 48.707737 -63.557637 0 2806 159.1056 1.89
"5394" 2008 48.721808 -63.469163 0 2479 168.2496 2.92
"5395" 2008 48.545265 -63.561972 0.566539454 2681 129.8448 1.59
"5396" 2008 48.397402 -63.79084 3.250905048 2508 118.872 0.97
"5397" 2008 48.465672 -63.581223 2.361214152 2588 131.6736 1.56
"5398" 2008 48.276715 -63.796362 0.46528859 3480 82.296 -0.1
"5399" 2008 48.273983 -63.617568 0.404277226 3722 95.0976 -0.1
"5400" 2008 48.246533 -63.64555 1.667840507 3062 98.7552 0.04
"5401" 2008 48.228555 -63.468085 6.204891656 3498 113.3856 0.05
"5402" 2008 48.081045 -63.689497 4.950879458 2396 106.0704 -0.1
"5403" 2008 48.145755 -63.543622 3.089361036 3662 93.2688 0.05
"5404" 2008 48.187488 -64.730438 3.687559342 2269 96.9264 -0.05
"5405" 2008 48.252493 -64.564002 5.583744649 2263 98.7552 -0.1
"5406" 2008 48.20697 -64.634125 6.484698183 2006 93.2688 -0.06
"5407" 2008 48.225087 -64.424227 3.822743797 2264 102.4128 0.05
"5408" 2008 48.302095 -64.02138 0.451909015 1743 82.296 0.36
"5409" 2008 48.215182 -63.891057 1.862057563 3581 84.1248 -0.1
"5410" 2008 48.150388 -64.779267 3.11333347 1812 91.44 0.05
"5411" 2008 48.131367 -64.632248 6.805173281 1917 87.7824 -0.1
"5412" 2008 48.159473 -63.845155 0.690268409 3648 76.8096 0.05
"5413" 2008 48.125258 -64.913377 0 2889 53.0352 2.13
"5414" 2008 47.954557 -65.631037 0 2925 36.576 8.74
"5415" 2008 47.904653 -65.347428 9.521609811 1948 65.8368 0.59
"5416" 2008 47.99222 -65.181717 2.141055008 2923 64.008 0.66
"5417" 2008 47.908328 -65.288423 4.414351252 2147 69.4944 0.36
"5418" 2008 47.805533 -65.327703 0 2856 40.2336 8.15
"5419" 2008 47.868163 -64.252017 0 2344 38.4048 11.97
"5420" 2008 47.916838 -64.051598 2.422125146 1863 80.4672 0.05
"5421" 2008 47.95469 -63.924932 1.567639851 2839 87.7824 0.05
"5422" 2008 47.846188 -63.975408 0 2659 73.152 0.2
"5423" 2008 47.939172 -63.830523 0.447417294 2927.4 89.6112 -0.1
"5424" 2008 47.822608 -64.264093 0 2496 40.2336 9
"5425" 2008 47.736057 -64.18792 1.393294338 3146 65.8368 0.2
"5426" 2008 47.73744 -64.074168 6.854240355 2166 80.4672 0.06
"5427" 2008 47.7564 -63.9275 7.33159606 2528.5 80.4672 0.05
"5428" 2008 47.712583 -63.801392 0 2875 64.008 0.5
"5429" 2008 47.648018 -63.721675 6.080971834 3193 73.152 0.36
"5430" 2008 47.642073 -63.641127 0.791240558 3130 73.152 0.05
"5431" 2008 47.569602 -64.375762 0 2468 47.5488 3.68
"5432" 2008 47.54264 -64.22744 9.156063738 1914 62.1792 0.52
"5433" 2008 47.61068 -64.066858 23.27311312 2208 74.9808 0.07
"5434" 2008 47.577212 -63.837562 0.810166222 3152 64.008 1.58
"5435" 2008 47.612552 -63.705033 2.51155093 2297 74.9808 0.08
"5436" 2008 47.362213 -64.419898 0 2175 43.8912 5.78
"5437" 2008 47.486692 -64.236442 10.179807 2073 60.3504 0.82
"5438" 2008 47.188328 -64.416173 0 2452 40.2336 6.07
"5439" 2008 47.039818 -64.372285 0 2507 38.4048 9.04
"5440" 2008 47.471567 -64.143528 0 3289 54.864 0.36
"5441" 2008 47.484988 -64.013613 0 2201 40.2336 12.12
"5442" 2008 47.365778 -63.986468 0 2905 40.2336 12.12
"5443" 2008 47.452565 -63.911347 0.880830295 2540 56.6928 1.79
"5444" 2008 47.465898 -63.806528 2.943751398 3091 65.8368 0.29
"5445" 2008 47.28839 -64.230767 0 2272 47.5488 6.66
"5446" 2008 47.295212 -63.604262 5.497930463 3567 69.4944 -0.41
"5447" 2008 47.321232 -63.471978 6.309548139 2556 64.008 -0.28
"5448" 2008 47.12229 -64.2415 0 2601.8 42.0624 8.29
"5449" 2008 47.202238 -64.134362 0 2031 38.4048 9.17
"5450" 2008 47.614745 -62.849462 8.885703386 2552 60.3504 -0.74
"5451" 2008 47.518517 -62.79349 1.927796385 2586 54.864 -0.57
"5452" 2008 47.647693 -62.7022 2.474618995 2981 64.008 -0.87
"5453" 2008 47.650277 -62.53567 3.252485303 3582 76.8096 -0.75
"5454" 2008 47.58257 -62.49196 6.211434613 2854.5 74.9808 -0.8
"5455" 2008 46.571372 -61.778663 0 2707 54.864 -0.1
"5456" 2008 46.474423 -61.726057 0.490678394 2477 43.8912 2.2
"5457" 2008 46.302675 -62.138385 0 2068 38.4048 6.22
"5458" 2008 46.287478 -62.088908 0 1978 38.4048 5.78
"5459" 2008 46.19302 -61.976457 0 2102 43.8912 4.75
"5460" 2008 46.342198 -61.908957 0 2252 36.576 5.75
"5461" 2008 46.200398 -61.716813 2.692578327 1960 54.864 1.4
"5462" 2008 46.17727 -61.736423 0.621409253 2158 54.864 1.58
"5463" 2008 46.318285 -61.539237 3.364421457 2033 64.008 0.82
"5464" 2008 46.298875 -61.565128 2.315728179 1587 62.1792 0.82
"5465" 2008 46.142688 -62.023555 0 1966 45.72 5.63
"5466" 2008 46.123723 -61.968858 0 2077.3 40.2336 6.22
"5467" 2008 46.127183 -61.700245 0.458910676 2028 54.864 2.04
"5468" 2008 46.06556 -61.747802 0 1887 51.2064 2.94
"5469" 2008 46.136427 -61.556342 2.081812745 2076 47.5488 1.77
"5470" 2008 46.12884 -61.588423 4.230993888 1833 49.3776 1.91
"5471" 2008 45.901658 -62.037705 0 1912 38.4048 3.63
"5472" 2008 45.906062 -61.882915 0 2374 36.576 3.62
"5473" 2008 46.526403 -61.527393 6.331045849 2579.4 60.3504 0.41
"5474" 2008 46.46131 -61.53214 5.637273681 2960 60.3504 0.5
"5475" 2008 46.3786 -61.359275 3.77778329 1906 56.6928 1.26
"5476" 2008 46.489062 -61.303032 3.971590147 2519 65.8368 0.82
"5477" 2008 47.697527 -62.392352 0.61785769 2514 60.3504 -0.73
"5478" 2008 47.644815 -62.177047 2.101993102 2300 51.2064 -0.57
"5479" 2008 47.532742 -62.15487 1.67854651 2221 47.5488 -0.1
"5480" 2008 47.502263 -62.143963 3.14350852 2236 42.0624 0.36
"5481" 2008 47.364403 -62.877912 0.453002497 2259 49.3776 -0.27
"5482" 2008 47.441222 -62.678395 1.925652344 2591 64.008 -0.81
"5483" 2008 47.451167 -62.604408 1.586515796 2495 69.4944 -0.88
"5484" 2008 47.420858 -62.597397 1.315887699 3064 71.3232 -0.88
"5485" 2008 47.418282 -62.4904 0.594531196 2562 67.6656 -0.82
"5486" 2008 47.446313 -62.287217 0.675636786 2122 54.864 -0.64
"5487" 2008 47.26852 -62.703313 1.176696575 2928 65.8368 -0.69
"5488" 2008 47.544868 -63.553223 1.976848969 3482 73.152 -0.49
"5489" 2008 47.654485 -63.442965 7.092977037 2353 85.9536 -0.57
"5490" 2008 47.632793 -63.289867 6.92088619 3021 85.9536 -0.53
"5491" 2008 47.555738 -63.140855 1.737183203 2847 64.008 -0.23
"5492" 2008 47.374415 -63.700643 1.752079872 3146 65.8368 -0.42
"5493" 2008 47.454923 -63.628832 1.738207738 3180 64.008 -0.41
"5494" 2008 47.374563 -63.608223 1.674507666 3150.4 67.6656 -0.41
"5495" 2008 47.45537 -63.378832 3.656811608 4000 78.6384 -0.52
"5496" 2008 47.3705 -63.4745 3.160058494 2528.5 74.9808 -0.41
"5497" 2008 47.488878 -63.303892 16.22071107 3115.8 80.4672 -0.57
"5498" 2008 47.428262 -63.155047 6.197470918 2915.3 69.4944 -0.73
"5499" 2008 47.315573 -63.742408 0 3149 62.1792 -0.26
"5500" 2008 46.87467 -61.380567 4.354320125 3411 62.1792 0.05
"5501" 2008 46.952423 -61.362908 2.589772316 2748 51.2064 0.27
"5502" 2008 46.96459 -61.288917 3.069515334 3278 54.864 0.34
"5503" 2008 46.904362 -61.23442 4.155225507 3271 62.1792 0.07
"5504" 2008 46.7776 -61.5924 1.033420268 2528.5 67.6656 0.2
"5505" 2008 46.717582 -61.498322 4.818127245 2921 64.008 0.36
"5506" 2008 46.701858 -61.368557 0.700508593 3439 71.3232 0.67
"5507" 2008 46.807685 -61.31207 3.706668739 3195 64.008 0.36
"5508" 2008 46.800518 -61.129875 0.512664172 3883 80.4672 0.2
"5509" 2008 46.593415 -61.375963 3.663413113 3245 62.1792 1.08
"5510" 2008 46.588517 -61.172152 2.602941256 3059 78.6384 1.43
"5511" 2008 47.551457 -60.761953 0.516840719 2509 53.0352 0.6
"5512" 2008 47.548773 -60.73354 0.725993196 2445 54.864 0.45
"5513" 2008 47.411853 -60.850647 2.557286962 2414 58.5216 1.3
"5514" 2008 47.355102 -60.722693 0.818410895 2473 64.008 0.97
"5515" 2008 47.44044 -60.559887 3.199929728 2578 84.1248 0.82
"5516" 2008 47.38089 -60.414718 0 2640 82.296 0.97
"5517" 2008 47.439327 -60.313462 0 3574 164.592 2.64
"5518" 2008 47.310275 -61.091753 1.641240959 2812 51.2064 1.57
"5519" 2008 47.26904 -60.854753 4.365408562 3470 85.9536 0.82
"5520" 2008 47.139093 -61.268353 1.361306822 2396 47.5488 1.73
"5521" 2008 47.203185 -60.887017 0.531792525 2558.3 71.3232 0.93
"5522" 2008 47.200667 -60.713478 1.872750618 2858 104.2416 1.01
"5523" 2008 47.30609 -60.524973 0 3086 74.9808 0.67
"5524" 2008 47.205882 -60.538068 0 2741 164.592 4.74
"5525" 2008 47.23093 -60.359662 0 3074 195.6816 5.03
"5526" 2008 47.141242 -60.57059 0.769393503 1374 173.736 3.99
"5527" 2008 47.132705 -60.37552 3.295650165 2126 173.736 3.87
"5528" 2008 47.068507 -60.490808 0.490534006 2121 122.5296 1.95
"5529" 2008 47.137627 -60.328225 1.225146173 2187 181.0512 3.94
"5530" 2008 47.052427 -61.020438 3.665184535 2017 89.6112 0.82
"5531" 2008 47.06747 -60.924275 0 2401 107.8992 2.49
"5532" 2008 47.06769 -60.853725 4.612156667 2305 124.3584 3.03
"5533" 2008 47.036512 -60.803087 1.621005811 2215 138.9888 3.24
"5534" 2008 47.065837 -60.699407 0.776465097 2618 162.7632 3.54
"5535" 2008 46.98408 -61.10729 3.860161118 2964 62.1792 0.97
"5536" 2008 46.891363 -61.019275 3.418898595 2789.1 102.4128 0.99
"5537" 2008 46.84806 -60.939017 4.666014064 2789.1 124.3584 1.55
"5538" 2008 46.952408 -60.882605 7.114953772 2689.4 135.3312 2.79
"5539" 2008 46.986415 -60.731362 1.719957662 2362 144.4752 3.03
"5540" 2008 46.797672 -60.957887 1.8301729 2767.2 115.2144 1.28
"5541" 2009 47.794682 -61.062 2.509089787 2496 42.0624 1.28
"5542" 2009 47.73922 -60.961928 2.676373784 2521 53.0352 0.95
"5543" 2009 47.690563 -60.688663 0 3270 71.3232 0.97
"5544" 2009 47.747242 -60.79805 1.169488694 3096 69.4944 1.09
"5545" 2009 47.696458 -60.63627 0 3223 80.4672 1.13
"5546" 2009 47.725348 -60.640877 0 3013.8 111.5568 NA
"5547" 2009 47.554538 -60.91166 0 2479 47.5488 1.15
"5548" 2009 47.649138 -60.89881 0 2670 47.5488 1.21
"5549" 2009 47.552495 -60.761853 1.272086069 2819 53.0352 1.06
"5550" 2009 47.550082 -60.731385 6.030052409 2784 54.864 1.08
"5551" 2009 47.590808 -60.591238 0 2773 67.6656 1.17
"5552" 2009 47.590033 -60.504057 0 2839 133.5024 1.6
"5553" 2009 48.187372 -61.207357 0 3165.1 387.7056 5.3
"5554" 2009 48.175622 -61.30192 0 3291 347.472 5.3
"5555" 2009 48.119385 -61.292455 0 3056.5 256.032 5.01
"5556" 2009 48.061188 -61.260967 1.485210323 3146 100.584 0.47
"5557" 2009 48.023265 -61.048318 0 3000 232.2576 4.37
"5558" 2009 48.121733 -61.051395 0 4215 369.4176 5.3
"5559" 2009 48.02545 -60.951208 0 3351.3 332.8416 5.3
"5560" 2009 48.042023 -60.9918 0 4089 329.184 5.31
"5561" 2009 47.894807 -60.951415 1.138274241 3060 82.296 0.94
"5562" 2009 47.914635 -60.751975 0 4143 309.0672 5.3
"5563" 2009 47.973703 -60.827975 0 3791 351.1296 5.3
"5564" 2009 48.188617 -61.620932 0 2838.4 217.6272 2.51
"5565" 2009 48.119288 -61.58129 0 3657 78.6384 0.45
"5566" 2009 48.145765 -61.64064 0 1912 109.728 0.57
"5567" 2009 48.057475 -61.498527 0 3433 67.6656 0.76
"5568" 2009 48.066925 -61.42293 0.3612217 1247 76.8096 0.75
